Date,Open,High,Low,Close,Volume,Adj Close
2009-02-23,126.65,128.80,119.30,125.20,116319200,99.04
2009-02-16,133.00,134.35,123.20,125.50,108659900,99.27
2009-02-09,137.50,165.75,130.00,134.10,93278400,106.08
2009-02-02,127.75,139.40,124.85,138.40,136871700,109.48
2009-01-26,130.25,137.90,128.70,129.70,157911300,102.59
2009-01-19,137.05,142.00,125.50,129.80,129635500,102.67
2009-01-12,137.00,140.50,130.65,134.90,93588400,106.71
2009-01-05,143.00,148.00,135.20,137.55,151579900,108.80
2008-12-29,129.50,141.40,128.70,139.00,51843800,109.95
2008-12-22,128.10,136.85,126.15,128.55,58402600,101.69
2008-12-15,129.05,133.35,125.70,129.95,174995300,102.79
2008-12-08,133.15,136.90,127.00,128.50,156937300,101.65
2008-12-01,125.40,129.50,114.10,126.60,196072300,100.14
2008-11-24,114.90,130.50,100.00,127.20,190221400,100.62
2008-11-17,122.50,129.60,111.00,112.50,270039600,88.99
2008-11-10,109.00,127.25,105.05,123.00,320823800,95.37
2008-11-03,121.80,121.90,105.50,106.70,260601900,82.73
2008-10-27,98.00,123.00,96.40,119.10,277027200,92.34
2008-10-20,120.00,121.00,96.50,103.50,282464800,80.25
2008-10-13,116.00,124.76,106.00,116.15,260975300,90.05
2008-10-06,127.00,132.00,100.00,109.50,316699500,84.90
2008-09-29,125.45,130.30,117.90,129.25,197324500,100.21
2008-09-22,131.60,132.20,118.30,126.00,186316000,97.69
2008-09-15,134.00,135.00,116.93,131.40,325434300,101.88
2008-09-08,136.10,139.45,133.50,136.90,156010300,106.14
2008-09-01,139.60,146.40,131.45,131.70,165790700,102.11
2008-08-25,139.95,144.10,136.70,141.05,99318500,109.36
2008-08-18,138.35,140.82,133.35,139.95,118026100,108.51
2008-08-11,139.20,142.85,138.00,139.65,121973900,108.27
2008-08-04,136.40,142.10,130.25,140.30,152350100,108.78
2008-07-28,132.30,139.50,128.50,137.65,144896000,106.72
2008-07-21,150.90,151.25,125.35,132.90,380833300,103.04
2008-07-14,148.35,152.85,142.10,152.00,165636600,117.85
2008-07-07,154.30,158.10,146.65,146.65,190790800,113.70
2008-06-30,141.20,154.40,140.03,152.00,248384200,117.85
2008-06-23,143.00,147.00,139.80,141.70,202546600,109.86
2008-06-16,154.70,154.80,143.20,144.20,180987500,111.80
2008-06-09,160.40,161.15,147.80,153.10,199771900,118.70
2008-06-02,166.00,166.00,150.00,161.15,200886700,124.94
2008-05-26,163.30,169.50,160.39,162.25,163456300,121.92
2008-05-19,168.00,168.25,157.50,163.30,198126800,122.71
2008-05-12,161.60,168.00,160.70,166.40,111676400,125.04
2008-05-05,163.50,164.80,160.07,161.80,92016500,121.58
2008-04-28,160.10,163.50,155.50,163.50,119309200,122.86
2008-04-21,155.80,194.69,151.20,159.20,126111500,119.63
2008-04-14,151.10,157.70,149.20,156.00,157875500,117.22
2008-04-07,160.00,162.00,101.20,152.20,150153600,114.37
2008-03-31,150.10,162.20,148.60,159.20,181622100,119.63
2008-03-24,149.30,158.10,149.30,157.00,130856900,117.97
2008-03-17,147.20,155.50,146.20,149.30,209469000,112.19
2008-03-10,153.50,158.00,149.50,149.90,186597600,112.64
2008-03-03,160.60,163.70,153.80,154.30,156069400,115.94
2008-02-25,164.50,168.70,159.40,162.70,192623300,122.26
2008-02-18,171.40,175.50,160.00,162.50,184442100,122.11
2008-02-11,173.70,179.90,168.51,170.90,130698200,128.42
2008-02-04,182.90,182.90,168.60,174.30,153957100,130.97
2008-01-28,172.60,193.55,169.50,181.30,214456900,136.23
2008-01-21,175.00,180.00,100.00,175.30,315558900,131.72
2008-01-14,185.30,189.40,178.10,178.50,202153400,134.13
2008-01-07,184.70,193.80,184.20,186.30,161941700,139.99
2007-12-31,186.80,191.34,183.80,185.80,84035400,139.61
2007-12-24,189.00,190.00,179.90,188.40,29400300,141.57
2007-12-17,182.50,189.00,180.00,188.70,177591900,141.79
2007-12-10,184.30,187.50,179.60,183.20,157815600,137.66
2007-12-03,183.90,188.90,180.60,184.90,164847100,138.94
2007-11-26,186.80,186.80,178.10,182.20,182675900,136.91
2007-11-19,191.70,194.20,183.40,187.10,154533800,140.59
2007-11-12,177.20,197.50,177.20,191.30,225863600,141.89
2007-11-05,184.10,189.90,178.30,179.30,158828000,132.99
2007-10-29,192.00,195.80,181.00,184.00,231832400,136.47
2007-10-22,172.60,196.98,100.00,193.60,329898500,143.59
2007-10-15,178.90,179.40,173.20,175.00,199475300,129.80
2007-10-08,170.00,347.45,167.70,179.30,366845300,132.99
2007-10-01,176.50,182.50,161.13,169.90,268714300,126.01
2007-09-24,172.00,179.00,170.40,176.50,367714600,130.91
2007-09-17,169.00,173.70,158.75,172.50,292717700,127.94
2007-09-10,159.70,173.10,136.76,169.10,232633500,125.42
2007-09-03,161.50,162.52,157.20,159.30,221516600,118.15
2007-08-27,157.10,160.90,154.04,159.80,140435400,118.52
2007-08-20,154.00,200.00,150.00,157.10,183196700,116.52
2007-08-13,153.00,162.00,148.00,154.40,282477100,114.52
2007-08-06,157.00,163.80,151.70,151.70,341822400,112.52
2007-07-30,151.00,158.00,145.00,156.00,310223100,115.70
2007-07-23,161.50,162.27,146.60,151.20,300604500,112.14
2007-07-16,164.60,167.40,159.10,160.80,432357100,119.26
2007-07-09,164.40,323.27,115.04,163.20,257869500,121.04
2007-07-02,167.90,169.00,100.00,163.50,333919700,121.27
2007-06-25,155.00,168.70,154.88,167.80,388409900,124.46
2007-06-18,163.10,165.00,150.00,156.00,219035000,115.70
2007-06-11,159.50,166.66,155.90,163.20,342073500,121.04
2007-06-04,162.00,166.00,120.00,159.90,446200300,118.60
2007-05-28,151.40,163.80,151.40,162.90,694226700,117.52
2007-05-21,145.40,154.61,141.70,151.40,571942900,109.22
2007-05-14,142.40,145.30,141.20,145.00,314555500,104.61
2007-05-07,144.80,146.00,125.89,142.10,226603700,102.51
2007-04-30,143.00,145.79,140.00,144.80,192757500,104.46
2007-04-23,144.70,146.00,139.90,142.90,236631900,103.09
2007-04-16,139.90,143.82,137.70,143.10,245835700,103.23
2007-04-09,136.70,183.60,100.00,138.50,264993000,99.92
2007-04-02,136.30,138.87,135.50,136.70,217504400,98.62
2007-03-26,141.80,143.64,64.00,135.50,260567700,97.75
2007-03-19,140.00,145.86,135.05,140.00,492808400,101.00
2007-03-12,139.75,140.50,133.94,139.25,344811500,100.46
2007-03-05,136.25,141.60,135.99,139.50,216922100,100.64
2007-02-26,146.00,147.25,135.98,138.50,315469400,99.92
2007-02-19,150.25,151.85,144.94,146.00,230571600,105.33
2007-02-12,151.00,153.50,147.50,149.25,231009300,107.67
2007-02-05,147.75,153.00,145.50,149.25,210092000,107.67
2007-01-29,147.25,151.60,146.36,148.00,735329500,106.77
2007-01-22,150.50,153.25,145.50,149.00,293895800,107.49
2007-01-15,149.25,150.12,146.00,148.25,323339700,106.95
2007-01-08,146.00,151.35,144.50,149.25,349065200,107.67
2007-01-01,141.50,150.06,140.75,146.00,265394200,105.33
2006-12-25,142.00,143.12,140.75,141.50,58563500,102.08
2006-12-18,145.75,151.41,140.91,142.00,215510600,102.44
2006-12-11,139.00,155.75,137.35,146.00,394102100,105.33
2006-12-04,133.00,139.00,49.00,138.25,248697900,99.74
2006-11-27,135.25,138.00,130.84,132.50,285799400,95.59
