Interserve PLC,IRV.L,LSE,United Kingdom
Inmarsat PLC,ISAT.L,LSE,United Kingdom
Invensys PLC,ISYS.L,LSE,United Kingdom
ITE Group PLC,ITE.L,LSE,United Kingdom
Intertek Group PLC,ITRK.L,LSE,United Kingdom
ITV PLC,ITV.L,LSE,United Kingdom
Jardine Matheson Holdings Ltd.,JARB.L,LSE,United Kingdom
JD Sports Fashion PLC,JD.L,LSE,United Kingdom
Judges Scientific PLC,JDG.L,LSE,United Kingdom
Wetherspoon (J D) PLC,JDW.L,LSE,United Kingdom
Jersey Electricity PLC,JEL.L,LSE,United Kingdom
JKX Oil & Gas PLC,JKX.L,LSE,United Kingdom
Jardine Lloyd Thompson Gr,JLT.L,LSE,United Kingdom
Johnson Matthey PLC,JMAT.L,LSE,United Kingdom
JPMorgan Chase & Co,JPM.L,LSE,United Kingdom
Johnston Press PLC,JPR.L,LSE,United Kingdom
Jupiter Fund Management PLC,JUP.L,LSE,United Kingdom
Kazakhmys PLC,KAZ.L,LSE,United Kingdom
KCOM Group PLC,KCOM.L,LSE,United Kingdom
Kentz Corporation Ltd,KENZ.L,LSE,United Kingdom
Darty PLC,KESA.L,LSE,United Kingdom
Kofax PLC,KFX.L,LSE,United Kingdom
Kingfisher PLC,KGF.L,LSE,United Kingdom
Kingspan Group PLC,KGP.L,LSE,United Kingdom
Kier Group PLC,KIE.L,LSE,United Kingdom
Keller Group PLC,KLR.L,LSE,United Kingdom
Kenmare Resources PLC,KMR.L,LSE,United Kingdom
Konami Corporation,KNM.L,LSE,United Kingdom
KSK Power Ventur PLC,KSK.L,LSE,United Kingdom
Kerry Group PLC,KYGA.L,LSE,United Kingdom
Ladbrokes PLC,LAD.L,LSE,United Kingdom
Lamprell PLC,LAM.L,LSE,United Kingdom
Land Securities Group PLC,LAND.L,LSE,United Kingdom
London & Associated Props,LAS.L,LSE,United Kingdom
London Fin & Inv Group,LFI.L,LSE,United Kingdom
Legal & General Group PLC,LGEN.L,LSE,United Kingdom
Liontrust Asset Management PLC,LIO.L,LSE,United Kingdom
Lloyds Banking Group PLC,LLD5.L,LSE,United Kingdom
Lloyds Banking Group PLC,LLOY.L,LSE,United Kingdom
Lonmin PLC,LMI.L,LSE,United Kingdom
LMS Capital PLC,LMS.L,LSE,United Kingdom
Lonrho PLC,LONR.L,LSE,United Kingdom
Lookers PLC,LOOK.L,LSE,United Kingdom
Laird PLC,LRD.L,LSE,United Kingdom
Lancashire Holdings Ltd,LRE.L,LSE,United Kingdom
LSE Group,LSE.L,LSE,United Kingdom
LSL Property Services PLC,LSL.L,LSE,United Kingdom
London and St Lawrence,LSLI.L,LSE,United Kingdom
Local Shopping REIT (The) PLC,LSR.L,LSE,United Kingdom
Latchways PLC,LTC.L,LSE,United Kingdom
Lupus Capital PLC,LUP.L,LSE,United Kingdom
Lavendon Group PLC,LVD.L,LSE,United Kingdom
Low & Bonar PLC,LWB.L,LSE,United Kingdom
Law Debenture Corporation,LWDB.L,LSE,United Kingdom
Mitchells & Butlers PLC,MAB.L,LSE,United Kingdom
Macfarlane Group PLC,MACF.L,LSE,United Kingdom
Mallett PLC,MAE.L,LSE,United Kingdom
Marston's PLC,MARS.L,LSE,United Kingdom
McBride PLC,MCB.L,LSE,United Kingdom
Microgen PLC,MCGN.L,LSE,United Kingdom
McKay Securities PLC,MCKS.L,LSE,United Kingdom
Micro Focus International PLC,MCRO.L,LSE,United Kingdom
Mecom Group PLC,MEC.L,LSE,United Kingdom
Mears Group PLC,MER.L,LSE,United Kingdom
Metric Property Investment PLC,METP.L,LSE,United Kingdom
Morgan Crucible Company,MGCR.L,LSE,United Kingdom
Meggitt PLC,MGGT.L,LSE,United Kingdom
Morgan Sindall Group PLC,MGNS.L,LSE,United Kingdom
Mucklow (A & J) Group PLC,MKLW.L,LSE,United Kingdom
Marks & Spencer Group PLC,MKS.L,LSE,United Kingdom
Millennium & Copthorne,MLC.L,LSE,United Kingdom
Molins PLC,MLIN.L,LSE,United Kingdom
Management Consulting,MMC.L,LSE,United Kingdom
Medusa Mining Ltd,MML.L,LSE,United Kingdom
Mondi PLC,MNDI.L,LSE,United Kingdom
Menzies (John) PLC,MNZS.L,LSE,United Kingdom
Molex, Inc.,MOLA.L,LSE,United Kingdom
Moneysupermarket.com Group PLC,MONY.L,LSE,United Kingdom
Moss Bros Group PLC,MOSB.L,LSE,United Kingdom
Michael Page International PLC,MPI.L,LSE,United Kingdom
Melrose PLC,MRO.L,LSE,United Kingdom
Melrose Resources PLC,MRS.L,,United Kingdom
Morrison (Wm) Supermarkets PLC,MRW.L,LSE,United Kingdom
MS International PLC,MSI.L,LSE,United Kingdom
Marshalls PLC,MSLH.L,LSE,United Kingdom
Mothercare PLC,MTC.L,LSE,United Kingdom
MITIE Group PLC,MTO.L,LSE,United Kingdom
Mountview Estates PLC,MTVW.L,LSE,United Kingdom
MBL Group PLC,MUBL.L,LSE,United Kingdom
MWB Group Holdings PLC,MWB.L,LSE,United Kingdom
Northamber PLC,NAR.L,LSE,United Kingdom
Narborough Plantations PLC,NBP.L,LSE,United Kingdom
New Britain Palm Oil Ltd,NBPO.L,LSE,United Kingdom
NCC Group PLC,NCC.L,LSE,United Kingdom
National Express Group PLC,NEX.L,LSE,United Kingdom
National Grid PLC,NG.L,LSE,United Kingdom
Norseman Gold PLC,NGL.L,LSE,United Kingdom
OJSC Novolipetsk Steel,NLMA.L,LSE,United Kingdom
North Midland Construction PLC,NMD.L,LSE,United Kingdom
Northgate PLC,NTG.L,LSE,United Kingdom
Novae Group PLC,NVA.L,LSE,United Kingdom
NWF Group PLC,NWF.L,LSE,United Kingdom
Smiths News PLC,NWS.L,LSE,United Kingdom
Norcros PLC,NXR.L,LSE,United Kingdom
Next PLC,NXT.L,LSE,United Kingdom
Ocado Group PLC,OCDO.L,LSE,United Kingdom
Ocean Wilsons Holdings Ltd,OCN.L,LSE,United Kingdom
office2office PLC,OFF.L,LSE,United Kingdom
Old Mutual PLC,OML.L,LSE,United Kingdom
Optos PLC,OPTS.L,LSE,United Kingdom
Oxford BioMedica PLC,OXB.L,LSE,United Kingdom
Oxford Instruments PLC,OXIG.L,LSE,United Kingdom
Pan African Resources PLC,PAF.L,LSE,United Kingdom
Paragon Group of Cos,PAG.L,LSE,United Kingdom
Paddy Power PLC,PAP.L,LSE,United Kingdom
PayPoint PLC,PAY.L,LSE,United Kingdom
Pochin's PLC,PCH.L,LSE,United Kingdom
Pendragon PLC,PDG.L,LSE,United Kingdom
Petrofac Ltd,PFC.L,LSE,United Kingdom
Premier Foods PLC,PFD.L,LSE,United Kingdom
Provident Financial PLC,PFG.L,LSE,United Kingdom
Premier Farnell PLC,PFL.L,LSE,United Kingdom
Pfizer Inc,PFZ.L,LSE,United Kingdom
Phoenix Group Holdings,PHNX.L,LSE,United Kingdom
Primary Health Properties PLC,PHP.L,LSE,United Kingdom
Photo-Me International PLC,PHTM.L,LSE,United Kingdom
Pace PLC,PIC.L,LSE,United Kingdom
Plaza Centers NV,PLAZ.L,LSE,United Kingdom
Premier Oil PLC,PMO.L,LSE,United Kingdom
Pennon Group PLC,PNN.L,LSE,United Kingdom
Panther Securities PLC,PNS.L,LSE,United Kingdom
Phoenix IT Group PLC,PNX.L,LSE,United Kingdom
Petropavlovsk PLC,POG.L,LSE,United Kingdom
Psion PLC,PON.L,LSE,United Kingdom
PPHE Hotel Group Ltd,PPH.L,LSE,United Kingdom
Prudential PLC,PRU.L,LSE,United Kingdom
Porvair PLC,PRV.L,LSE,United Kingdom
Promethean World PLC,PRW.L,LSE,United Kingdom
Persimmon PLC,PSN.L,LSE,United Kingdom
Pearson PLC,PSON.L,LSE,United Kingdom
Playtech Ltd.,PTEC.L,LSE,United Kingdom
Parity Group PLC,PTY.L,LSE,United Kingdom
Punch Taverns PLC,PUB.L,LSE,United Kingdom
PuriCore PLC,PURI.L,LSE,United Kingdom
PV Crystalox Solar PLC,PVCS.L,LSE,United Kingdom
Phytopharm PLC,PYM.L,LSE,United Kingdom
PZ Cussons PLC,PZC.L,LSE,United Kingdom
Quintain Estates & Dev,QED.L,LSE,United Kingdom
QinetiQ Group PLC,QQ.L,LSE,United Kingdom
Quarto Group (The) Inc,QRT.L,LSE,United Kingdom
Rathbone Brothers PLC,RAT.L,LSE,United Kingdom
Reckitt Benckiser Group PLC,RB.L,LSE,United Kingdom
Royal Bank of Scotland,RBS.L,LSE,United Kingdom
Ricardo PLC,RCDO.L,LSE,United Kingdom
RIT Capital Partners PLC,RCP.L,LSE,United Kingdom
Royal Dutch Shell PLC,RDSA.L,LSE,United Kingdom
Royal Dutch Shell PLC,RDSB.L,LSE,United Kingdom
Redrow PLC,RDW.L,LSE,United Kingdom
R.E.A. Holdings PLC,RE.L,LSE,United Kingdom
Record PLC,REC.L,LSE,United Kingdom
Reed Elsevier PLC,REL.L,LSE,United Kingdom
REXAM PLC,REX.L,LSE,United Kingdom
Ross Group PLC,RGP.L,LSE,United Kingdom
Regus PLC,RGU.L,LSE,United Kingdom
Ricoh, Ltd.,RICO.L,LSE,United Kingdom
Rio Tinto PLC,RIO.L,LSE,United Kingdom
Ruukki Group PLC,RKKI.L,LSE,United Kingdom
RM PLC,RM.L,LSE,United Kingdom
Rightmove PLC,RMV.L,LSE,United Kingdom
Rank Group (The) PLC,RNK.L,LSE,United Kingdom
Renold PLC,RNO.L,LSE,United Kingdom
Rotork PLC,ROR.L,LSE,United Kingdom
RPC Group PLC,RPC.L,LSE,United Kingdom
RPS Group PLC,RPS.L,LSE,United Kingdom
Rolls-Royce Group PLC,RR.L,LSE,United Kingdom
Randgold Resources Ltd,RRS.L,LSE,United Kingdom
RSA Insurance Group PLC,RSA.L,LSE,United Kingdom
Resolution Ltd,RSL.L,LSE,United Kingdom
Renishaw PLC,RSW.L,LSE,United Kingdom
Restaurant Group (The) PLC,RTN.L,LSE,United Kingdom
Rentokil Initial PLC,RTO.L,LSE,United Kingdom
Raven Russia Ltd,RUS.L,LSE,United Kingdom
Robert Walters PLC,RWA.L,LSE,United Kingdom
Ryanair Holdings PLC,RYA.L,LSE,United Kingdom
SABMiller PLC,SAB.L,LSE,United Kingdom
Safestore Holdings PLC,SAFE.L,LSE,United Kingdom
Sainsbury (J) PLC,SBRY.L,LSE,United Kingdom
Source BioScience PLC,SBS.L,LSE,United Kingdom
Sportingbet PLC,SBT.L,LSE,United Kingdom
Scottish Investment Trust,SCIN.L,LSE,United Kingdom
SDL PLC,SDL.L,LSE,United Kingdom
Schroders PLC,SDR.L,LSE,United Kingdom
Schroders PLC,SDRC.L,LSE,United Kingdom
Speedy Hire PLC,SDY.L,LSE,United Kingdom
Sepura PLC,SEPU.L,LSE,United Kingdom
